epoch,iteration,grad_norm
1,1,2.00991
1,2,2.00942
1,3,1.97317
1,4,1.85378
1,5,2.18873
1,6,3.37443
1,7,1.64464
1,8,3.48121
1,9,1.61114
1,10,1.73524
1,11,1.87707
1,12,1.46015
1,13,1.62005
1,14,2.09074
1,15,2.38521
1,16,1.37128
1,17,1.6219
1,18,1.60644
1,19,1.47277
1,20,1.54288
1,21,1.87257
1,22,1.5474
1,23,1.25915
1,24,1.62034
1,25,1.77295
1,26,1.60499
1,27,2.51458
1,28,2.27419
1,29,1.23134
1,30,2.00747
1,31,2.18709
1,32,1.6425
1,33,1.22242
1,34,2.40924
1,35,1.41661
1,36,2.44766
1,37,2.71586
1,38,1.13775
1,39,1.3189
1,40,1.0079
1,41,1.18568
1,42,1.37893
1,43,1.28928
1,44,1.67551
1,45,4.02862
1,46,2.66283
1,47,1.14161
1,48,1.24799
1,49,1.08478
1,50,2.04353
1,51,1.09591
1,52,1.6296
1,53,1.34172
1,54,2.34756
1,55,1.95055
1,56,1.3208
1,57,1.23448
1,58,1.65354
1,59,1.06063
1,60,1.30076
1,61,1.73996
1,62,0.97428
1,63,1.82064
1,64,1.7873
1,65,1.97404
1,66,2.49006
1,67,0.99731
1,68,1.68589
1,69,1.49722
1,70,2.49738
1,71,1.7732
1,72,2.39883
1,73,1.33153
1,74,1.17777
1,75,1.33496
1,76,1.65617
1,77,2.41982
1,78,1.84214
1,79,2.63441
1,80,1.09711
1,81,2.27887
1,82,1.68645
1,83,1.45118
1,84,1.25105
1,85,1.1772
1,86,1.48809
1,87,2.66752
1,88,0.97847
1,89,0.93017
1,90,2.14646
1,91,1.01345
1,92,1.75744
1,93,4.30019
1,94,2.04886
1,95,1.19788
1,96,1.74791
1,97,1.92693
1,98,1.14354
1,99,2.59409
1,100,1.67065
1,101,1.6796
1,102,0.93988
1,103,1.40728
1,104,3.20494
1,105,1.01468
1,106,1.0427
1,107,2.8558
1,108,1.7513
1,109,1.79986
1,110,1.58946
1,111,1.04799
1,112,1.0048
