epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.78811,0.80085,0.52168,0.44682,0.53704,0.48548
2,0.78557,0.77895,0.52838,0.46175,0.64222,0.57656
3,0.77217,0.76737,0.58948,0.51486,0.63259,0.57496
4,0.7445,0.69067,0.6587,0.61367,0.78852,0.7078
5,0.67639,0.63714,0.76092,0.71707,0.78778,0.72138
6,0.59114,0.65327,0.82738,0.76776,0.76148,0.71947
7,0.55577,0.59859,0.84861,0.79615,0.81444,0.77512
8,0.43156,0.7803,0.90853,0.86682,0.75704,0.71772
