epoch,train_loss,val_loss
1,0.55103,0.5011
2,0.48336,0.49407
3,0.47383,0.4789
4,0.46019,0.46873
5,0.45369,0.46209
6,0.44611,0.45982
7,0.44295,0.46055
8,0.43721,0.45021
9,0.42841,0.4473
10,0.42346,0.4443
11,0.41504,0.43636
12,0.41024,0.42536
13,0.39875,0.42318
14,0.3911,0.42171
15,0.37838,0.42437
16,0.36755,0.42257
17,0.35583,0.41468
18,0.34406,0.41371
19,0.33256,0.41425
20,0.31741,0.41652
