epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.79039,0.78756,0.50406,0.45152,0.54852,0.50668
2,0.78463,0.7824,0.52416,0.46786,0.58037,0.55589
3,0.7777,0.77686,0.57204,0.49085,0.66667,0.56979
4,0.73366,0.68753,0.70041,0.62824,0.76333,0.73638
5,0.64254,0.66239,0.80041,0.74333,0.80074,0.72978
6,0.50162,0.6095,0.89145,0.84217,0.79593,0.68012
7,0.3844,0.62835,0.92863,0.88201,0.80296,0.75229
8,0.25887,0.93903,0.96582,0.94239,0.78148,0.69826
