epoch,split,iteration,loss
1,train,10,0.89795
1,train,20,0.77295
1,train,30,0.84375
1,train,40,0.79492
1,train,50,0.76562
1,train,60,0.83496
1,train,70,0.81445
1,train,80,0.7666
1,train,90,0.70068
1,train,100,0.7583
1,train,110,0.83301
1,train,120,0.79688
2,train,10,0.85352
2,train,20,0.80811
2,train,30,0.79102
2,train,40,0.88525
2,train,50,0.80518
2,train,60,0.81055
2,train,70,0.79688
2,train,80,0.7793
2,train,90,0.73975
2,train,100,0.75146
2,train,110,0.77881
2,train,120,0.77344
3,train,10,0.86133
3,train,20,0.69629
3,train,30,0.74121
3,train,40,0.8623
3,train,50,0.78223
3,train,60,0.78955
3,train,70,0.69873
3,train,80,0.74658
3,train,90,0.76074
3,train,100,0.92676
3,train,110,0.75049
3,train,120,0.86719
4,train,10,0.82812
4,train,20,0.6377
4,train,30,0.68799
4,train,40,0.7334
4,train,50,0.69531
4,train,60,0.70117
4,train,70,0.80566
4,train,80,0.78369
4,train,90,0.72461
4,train,100,0.62842
4,train,110,0.71094
4,train,120,0.78906
5,train,10,0.69629
5,train,20,0.54248
5,train,30,0.7002
5,train,40,0.71387
5,train,50,0.63916
5,train,60,0.46899
5,train,70,0.6748
5,train,80,0.69287
5,train,90,0.67773
5,train,100,0.52441
5,train,110,0.47754
5,train,120,0.63086
6,train,10,0.49316
6,train,20,0.38574
6,train,30,0.83252
6,train,40,0.77051
6,train,50,0.47778
6,train,60,0.37402
6,train,70,0.48975
6,train,80,0.25537
6,train,90,0.41919
6,train,100,0.66602
6,train,110,0.36353
6,train,120,0.69971
7,train,10,0.80713
7,train,20,0.84863
7,train,30,0.7251
7,train,40,0.82617
7,train,50,0.67627
7,train,60,0.73926
7,train,70,0.76318
7,train,80,0.77295
7,train,90,0.76562
7,train,100,0.7334
7,train,110,0.76367
7,train,120,0.73291
7,train,10,0.29028
7,train,20,0.26831
7,train,30,0.19373
7,train,40,0.49585
7,train,50,0.90918
7,train,60,0.62793
7,train,70,0.48999
7,train,80,0.3501
7,train,90,0.25317
7,train,100,0.18262
7,train,110,0.59375
7,train,120,0.42578
8,train,10,0.10822
8,train,20,0.12317
8,train,30,0.22095
8,train,40,0.07031
8,train,50,0.23645
8,train,60,0.19312
8,train,70,0.51074
8,train,80,0.14014
8,train,90,0.08038
8,train,100,0.25317
8,train,110,0.21667
8,train,120,0.35986
