epoch,train_loss,val_loss
1,0.68498,0.69242
2,0.68408,0.6935
3,0.68429,0.6921
4,0.68349,0.68893
5,0.6786,0.68963
6,0.67185,0.67351
7,0.65753,0.65977
8,0.64093,0.6445
9,0.60505,0.62619
10,0.55026,0.60917
11,0.45769,0.59412
12,0.34847,0.64849
13,0.22714,0.68506
