epoch,split,iteration,loss
1,train,10,0.76709
1,train,20,0.75439
1,train,30,0.79736
1,train,40,0.68701
1,train,50,1.02441
1,train,60,0.81885
1,train,70,0.771
1,train,80,0.7002
1,train,90,0.84131
1,train,100,0.72559
1,train,110,0.82812
1,train,120,0.75977
2,train,10,0.7417
2,train,20,0.75146
2,train,30,0.79883
2,train,40,0.85156
2,train,50,0.74707
2,train,60,0.78174
2,train,70,0.71973
2,train,80,0.77637
2,train,90,0.75781
2,train,100,0.7832
2,train,110,0.90674
2,train,120,0.83105
3,train,10,0.78467
3,train,20,0.75684
3,train,30,0.6748
3,train,40,0.73828
3,train,50,0.70264
3,train,60,0.57861
3,train,70,0.79883
3,train,80,0.79297
3,train,90,0.81787
3,train,100,0.76172
3,train,110,0.7124
3,train,120,0.73584
4,train,10,0.86279
4,train,20,0.76367
4,train,30,0.77734
4,train,40,0.90234
4,train,50,0.83789
4,train,60,0.80713
4,train,70,0.74561
4,train,80,0.72803
4,train,90,0.84912
4,train,100,0.73193
4,train,110,0.76221
4,train,120,0.83838
5,train,10,0.71143
5,train,20,0.74512
5,train,30,0.61279
5,train,40,0.73877
5,train,50,0.76025
5,train,60,0.61133
5,train,70,0.7959
5,train,80,0.72607
5,train,90,0.90137
5,train,100,0.74854
5,train,110,0.71777
5,train,120,0.81934
6,train,10,0.64844
6,train,20,0.64111
6,train,30,1.01367
6,train,40,0.80029
6,train,50,0.59668
6,train,60,0.81201
6,train,70,0.93994
6,train,80,0.63281
6,train,90,0.56396
6,train,100,0.57471
6,train,110,0.86328
6,train,120,0.51758
7,train,10,0.98486
7,train,20,0.61523
7,train,30,0.79883
7,train,40,0.55078
7,train,50,0.57031
7,train,60,0.57373
7,train,70,0.79395
7,train,80,0.51416
7,train,90,0.57178
7,train,100,0.77246
7,train,110,0.59082
7,train,120,0.55811
8,train,10,0.74854
8,train,20,0.40234
8,train,30,0.59863
8,train,40,0.34009
8,train,50,0.4021
8,train,60,0.93164
8,train,70,0.68457
8,train,80,0.57568
8,train,90,0.4292
8,train,100,0.67627
8,train,110,0.47998
8,train,120,0.51172
9,train,10,0.39697
9,train,20,0.50586
9,train,30,0.46387
9,train,40,0.64697
9,train,50,0.29541
9,train,60,0.57715
9,train,70,0.32788
9,train,80,0.26709
9,train,90,0.28247
9,train,100,0.63281
9,train,110,0.63721
9,train,120,0.47559
10,train,10,0.27344
10,train,20,0.41895
10,train,30,0.71191
10,train,40,0.46167
10,train,50,0.4917
10,train,60,0.90283
10,train,70,0.32764
10,train,80,0.11041
10,train,90,0.14258
10,train,100,0.37378
10,train,110,0.19482
10,train,120,0.50537
