epoch,split,iteration,loss
1,train,10,0.67822
1,train,20,0.68555
1,train,30,0.74219
1,train,40,0.65283
1,train,50,0.61328
1,train,60,0.75684
2,train,10,0.66699
2,train,20,0.78223
2,train,30,0.76611
2,train,40,0.68457
2,train,50,0.69385
2,train,60,0.81982
3,train,10,0.66113
3,train,20,0.62744
3,train,30,0.64014
3,train,40,0.61377
3,train,50,0.72119
3,train,60,0.64551
4,train,10,0.71582
4,train,20,0.66357
4,train,30,0.73877
4,train,40,0.70996
4,train,50,0.68359
4,train,60,0.63037
5,train,10,0.67285
5,train,20,0.74316
5,train,30,0.65332
5,train,40,0.67529
5,train,50,0.57715
5,train,60,0.68848
6,train,10,0.65332
6,train,20,0.62305
6,train,30,0.65674
6,train,40,0.69385
6,train,50,0.69727
6,train,60,0.68262
7,train,10,0.68945
7,train,20,0.72363
7,train,30,0.70801
7,train,40,0.69287
7,train,50,0.65576
7,train,60,0.72266
8,train,10,0.63867
8,train,20,0.65234
8,train,30,0.69629
8,train,40,0.75098
8,train,50,0.70068
8,train,60,0.62256
9,train,10,0.68408
9,train,20,0.60303
9,train,30,0.69141
9,train,40,0.63086
9,train,50,0.70166
9,train,60,0.66846
10,train,10,0.71777
10,train,20,0.58496
10,train,30,0.77295
10,train,40,0.64795
10,train,50,0.67725
10,train,60,0.74316
11,train,10,0.63232
11,train,20,0.69873
11,train,30,0.68311
11,train,40,0.61426
11,train,50,0.67383
11,train,60,0.65723
12,train,10,0.64746
12,train,20,0.68408
12,train,30,0.68164
12,train,40,0.73682
12,train,50,0.61377
12,train,60,0.74756
13,train,10,0.70605
13,train,20,0.67578
13,train,30,0.62793
13,train,40,0.62646
13,train,50,0.59326
13,train,60,0.65332
14,train,10,0.59619
14,train,20,0.52393
14,train,30,0.49097
14,train,40,0.5791
14,train,50,0.68457
14,train,60,0.55908
15,train,10,0.58008
15,train,20,0.56006
15,train,30,0.55615
15,train,40,0.57715
15,train,50,0.56641
15,train,60,0.44702
16,train,10,0.54688
16,train,20,0.48779
16,train,30,0.45166
16,train,40,0.38647
16,train,50,0.45288
16,train,60,0.46289
17,train,10,0.40625
17,train,20,0.37939
17,train,30,0.32837
17,train,40,0.41748
17,train,50,0.38501
17,train,60,0.30054
18,train,10,0.28247
18,train,20,0.30566
18,train,30,0.26196
18,train,40,0.3457
18,train,50,0.28198
18,train,60,0.22656
19,train,10,0.21069
19,train,20,0.29443
19,train,30,0.13892
19,train,40,0.15137
19,train,50,0.20215
19,train,60,0.22729
20,train,10,0.1532
20,train,20,0.17212
20,train,30,0.14478
20,train,40,0.11115
20,train,50,0.13379
20,train,60,0.1051
21,train,10,0.08496
21,train,20,0.10248
21,train,30,0.06247
21,train,40,0.13245
21,train,50,0.07635
21,train,60,0.07648
22,train,10,0.06415
22,train,20,0.09479
22,train,30,0.05786
22,train,40,0.07428
22,train,50,0.08325
22,train,60,0.05392
