epoch,train_loss,val_loss
1,0.68877,0.69179
2,0.68394,0.69507
3,0.68601,0.69064
4,0.68519,0.68928
5,0.67873,0.68286
6,0.67055,0.66814
7,0.64847,0.6506
8,0.62863,0.62755
9,0.58678,0.63346
10,0.50998,0.58943
11,0.41007,0.57558
12,0.27713,0.66068
13,0.1715,0.65199
