epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.79093,0.79736,0.4984,0.43853,0.50889,0.48641
2,0.78747,0.79276,0.51949,0.44723,0.58407,0.49736
3,0.7828,0.78533,0.54161,0.47681,0.64222,0.60159
4,0.77225,0.77201,0.59846,0.50449,0.60963,0.58786
5,0.75482,0.76768,0.63811,0.56986,0.70481,0.66555
6,0.71034,0.72573,0.72435,0.66612,0.75889,0.71391
7,0.64634,0.57078,0.78991,0.72177,0.86741,0.83374
8,0.57285,0.53798,0.84728,0.78919,0.85444,0.81871
9,0.50301,0.54541,0.88276,0.83567,0.87185,0.85355
10,0.41446,0.69897,0.92277,0.89204,0.81222,0.74938
