epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.7929,0.82363,0.49867,0.43058,0.59519,0.5303
2,0.79027,0.78767,0.51416,0.44768,0.60222,0.55495
3,0.78486,0.78516,0.53346,0.45944,0.65556,0.61449
4,0.77138,0.77937,0.60425,0.54589,0.58074,0.58259
5,0.75521,0.80915,0.63548,0.59661,0.73778,0.66191
6,0.7345,0.67819,0.67707,0.59822,0.82111,0.77513
7,0.64998,0.70091,0.79345,0.73309,0.76852,0.75215
8,0.61533,0.6714,0.8089,0.74442,0.83074,0.77831
9,0.53217,0.56799,0.86698,0.82748,0.84667,0.80864
10,0.46812,0.5793,0.89636,0.86693,0.82889,0.81439
11,0.3541,0.78971,0.9439,0.92436,0.78519,0.75534
