epoch,split,iteration,loss
1,train,10,0.70996
1,train,20,0.84912
1,train,30,0.79932
1,train,40,0.80859
1,train,50,0.84521
1,train,60,0.82715
1,train,70,0.74658
1,train,80,0.71338
1,train,90,0.82666
1,train,100,0.8208
1,train,110,0.81152
1,train,120,0.88574
2,train,10,0.97607
2,train,20,0.86523
2,train,30,0.771
2,train,40,0.68262
2,train,50,0.85547
2,train,60,0.82959
2,train,70,0.82373
2,train,80,0.81494
2,train,90,0.70703
2,train,100,0.8623
2,train,110,0.73535
2,train,120,0.729
3,train,10,0.72998
3,train,20,0.85059
3,train,30,0.7334
3,train,40,0.87988
3,train,50,0.71484
3,train,60,0.74121
3,train,70,0.83936
3,train,80,0.83691
3,train,90,0.79199
3,train,100,0.7793
3,train,110,0.77832
3,train,120,0.76709
4,train,10,0.7749
4,train,20,0.7373
4,train,30,0.76514
4,train,40,0.75781
4,train,50,0.81689
4,train,60,0.65234
4,train,70,0.68506
4,train,80,0.65967
4,train,90,0.78223
4,train,100,0.72412
4,train,110,0.75537
4,train,120,0.74512
5,train,10,0.68311
5,train,20,0.82764
5,train,30,0.771
5,train,40,0.7168
5,train,50,0.73877
5,train,60,0.65088
5,train,70,0.87842
5,train,80,0.68555
5,train,90,0.83447
5,train,100,0.75098
5,train,110,0.83252
5,train,120,0.84961
6,train,10,0.83008
6,train,20,0.6875
6,train,30,0.60596
6,train,40,0.70947
6,train,50,0.76318
6,train,60,0.68506
6,train,70,0.67627
6,train,80,0.71289
6,train,90,0.68018
6,train,100,0.71533
6,train,110,0.8501
6,train,120,0.72217
7,train,10,0.75342
7,train,20,0.68457
7,train,30,0.67188
7,train,40,0.87842
7,train,50,0.56445
7,train,60,0.47827
7,train,70,0.54102
7,train,80,0.45117
7,train,90,0.54297
7,train,100,0.49268
7,train,110,0.85889
7,train,120,0.71973
8,train,10,0.49072
8,train,20,0.51514
8,train,30,0.60352
8,train,40,0.67578
8,train,50,0.99707
8,train,60,1.08691
8,train,70,0.43677
8,train,80,0.6582
8,train,90,0.3584
8,train,100,0.5459
8,train,110,0.37939
8,train,120,0.98535
9,train,10,0.80957
9,train,20,0.62891
9,train,30,0.51416
9,train,40,0.66602
9,train,50,0.66846
9,train,60,0.34497
9,train,70,0.29834
9,train,80,0.55322
9,train,90,0.54346
9,train,100,0.55371
9,train,110,0.56641
9,train,120,0.82471
10,train,10,0.33838
10,train,20,0.41089
10,train,30,0.27222
10,train,40,0.35352
10,train,50,0.19568
10,train,60,0.76025
10,train,70,0.34448
10,train,80,0.40039
10,train,90,0.24524
10,train,100,0.30591
10,train,110,0.99951
10,train,120,0.61426
11,train,10,0.18152
11,train,20,0.4834
11,train,30,0.40796
11,train,40,0.13916
11,train,50,0.5542
11,train,60,0.26221
11,train,70,0.18835
11,train,80,0.16846
11,train,90,0.42261
11,train,100,0.38306
11,train,110,0.21228
11,train,120,0.17529
