epoch,split,iteration,loss
1,train,10,0.69434
1,train,20,0.71387
1,train,30,0.64551
1,train,40,0.74316
1,train,50,0.63672
1,train,60,0.64453
2,train,10,0.66064
2,train,20,0.75488
2,train,30,0.6875
2,train,40,0.66211
2,train,50,0.65967
2,train,60,0.84521
3,train,10,0.76709
3,train,20,0.65771
3,train,30,0.75781
3,train,40,0.6626
3,train,50,0.72852
3,train,60,0.59814
4,train,10,0.74121
4,train,20,0.65283
4,train,30,0.65918
4,train,40,0.71094
4,train,50,0.75293
4,train,60,0.60938
5,train,10,0.646
5,train,20,0.6875
5,train,30,0.63428
5,train,40,0.62012
5,train,50,0.60205
5,train,60,0.6582
6,train,10,0.7085
6,train,20,0.69629
6,train,30,0.74854
6,train,40,0.67188
6,train,50,0.73242
6,train,60,0.74512
7,train,10,0.67334
7,train,20,0.77051
7,train,30,0.604
7,train,40,0.66895
7,train,50,0.66699
7,train,60,0.73926
8,train,10,0.64844
8,train,20,0.5708
8,train,30,0.70508
8,train,40,0.65137
8,train,50,0.6709
8,train,60,0.56299
9,train,10,0.70947
9,train,20,0.70996
9,train,30,0.64307
9,train,40,0.66113
9,train,50,0.66602
9,train,60,0.62744
10,train,10,0.69629
10,train,20,0.64648
10,train,30,0.69727
10,train,40,0.66553
10,train,50,0.54688
10,train,60,0.66113
11,train,10,0.60645
11,train,20,0.57568
11,train,30,0.69482
11,train,40,0.64062
11,train,50,0.59619
11,train,60,0.70703
12,train,10,0.62842
12,train,20,0.6626
12,train,30,0.66553
12,train,40,0.58691
12,train,50,0.69971
12,train,60,0.57129
13,train,10,0.74316
13,train,20,0.64746
13,train,30,0.60645
13,train,40,0.57861
13,train,50,0.48608
13,train,60,0.84229
14,train,10,0.47656
14,train,20,0.51807
14,train,30,0.50098
14,train,40,0.39478
14,train,50,0.60791
14,train,60,0.54639
15,train,10,0.49463
15,train,20,0.47363
15,train,30,0.41016
15,train,40,0.41138
15,train,50,0.5293
15,train,60,0.35669
16,train,10,0.30127
16,train,20,0.35352
16,train,30,0.38354
16,train,40,0.25928
16,train,50,0.38477
16,train,60,0.30176
17,train,10,0.22839
17,train,20,0.25415
17,train,30,0.29346
17,train,40,0.20581
17,train,50,0.24963
17,train,60,0.22302
18,train,10,0.29761
18,train,20,0.29175
18,train,30,0.29492
18,train,40,0.16565
18,train,50,0.16614
18,train,60,0.26514
19,train,10,0.19556
19,train,20,0.1322
19,train,30,0.11072
19,train,40,0.09375
19,train,50,0.11279
19,train,60,0.09924
