epoch,train_loss,val_loss
1,0.69053,0.69039
2,0.68557,0.69346
3,0.68336,0.69179
4,0.68324,0.69029
5,0.68103,0.68774
6,0.67763,0.68457
7,0.67936,0.67885
8,0.67532,0.67585
9,0.66637,0.67372
10,0.65685,0.6597
11,0.63896,0.64638
12,0.62038,0.62873
13,0.57968,0.61633
14,0.52547,0.59154
15,0.45255,0.56142
16,0.36947,0.55919
17,0.27764,0.52043
18,0.20704,0.53197
19,0.13771,0.54982
