epoch,split,iteration,loss
1,train,10,0.7124
1,train,20,0.68701
1,train,30,0.73877
1,train,40,0.62451
1,train,50,0.75
1,train,60,0.62988
2,train,10,0.69043
2,train,20,0.7002
2,train,30,0.70117
2,train,40,0.67188
2,train,50,0.68018
2,train,60,0.59619
3,train,10,0.64697
3,train,20,0.78955
3,train,30,0.74023
3,train,40,0.70898
3,train,50,0.71631
3,train,60,0.67578
4,train,10,0.64697
4,train,20,0.77051
4,train,30,0.78516
4,train,40,0.65674
4,train,50,0.69971
4,train,60,0.60938
5,train,10,0.83105
5,train,20,0.69775
5,train,30,0.68994
5,train,40,0.71826
5,train,50,0.70654
5,train,60,0.68848
6,train,10,0.64307
6,train,20,0.69727
6,train,30,0.66797
6,train,40,0.67969
6,train,50,0.64307
6,train,60,0.79199
7,train,10,0.65918
7,train,20,0.70264
7,train,30,0.71338
7,train,40,0.60498
7,train,50,0.646
7,train,60,0.74609
8,train,10,0.68115
8,train,20,0.61719
8,train,30,0.61377
8,train,40,0.66797
8,train,50,0.6333
8,train,60,0.72168
9,train,10,0.60498
9,train,20,0.68555
9,train,30,0.72754
9,train,40,0.68799
9,train,50,0.67773
9,train,60,0.66943
10,train,10,0.59326
10,train,20,0.72852
10,train,30,0.73828
10,train,40,0.61328
10,train,50,0.65039
10,train,60,0.6001
11,train,10,0.67676
11,train,20,0.66602
11,train,30,0.61475
11,train,40,0.68604
11,train,50,0.59912
11,train,60,0.7002
12,train,10,0.54541
12,train,20,0.58496
12,train,30,0.50928
12,train,40,0.65576
12,train,50,0.67627
12,train,60,0.61914
13,train,10,0.56152
13,train,20,0.58105
13,train,30,0.52588
13,train,40,0.70264
13,train,50,0.6084
13,train,60,0.53369
14,train,10,0.54541
14,train,20,0.51953
14,train,30,0.50684
14,train,40,0.54492
14,train,50,0.49121
14,train,60,0.52197
15,train,10,0.58447
15,train,20,0.48682
15,train,30,0.43115
15,train,40,0.46484
15,train,50,0.41968
15,train,60,0.40894
16,train,10,0.47803
16,train,20,0.37476
16,train,30,0.33813
16,train,40,0.46362
16,train,50,0.42334
16,train,60,0.35425
17,train,10,0.30859
17,train,20,0.26123
17,train,30,0.32178
17,train,40,0.24707
17,train,50,0.27808
17,train,60,0.29053
18,train,10,0.26196
18,train,20,0.23523
18,train,30,0.23425
18,train,40,0.27832
18,train,50,0.17688
18,train,60,0.12903
19,train,10,0.12659
19,train,20,0.20093
19,train,30,0.13855
19,train,40,0.16675
19,train,50,0.16138
19,train,60,0.15552
20,train,10,0.18701
20,train,20,0.15662
20,train,30,0.11792
20,train,40,0.08099
20,train,50,0.1109
20,train,60,0.10077
21,train,10,0.06348
21,train,20,0.14575
21,train,30,0.06598
21,train,40,0.05133
21,train,50,0.08612
21,train,60,0.09912
