epoch,train_loss,val_loss
1,0.6906,0.69374
2,0.68542,0.69231
3,0.68518,0.68945
4,0.6841,0.68945
5,0.68403,0.68488
6,0.67874,0.68949
7,0.67374,0.67616
8,0.67368,0.67264
9,0.65908,0.66044
10,0.64781,0.65036
11,0.62848,0.65412
12,0.6083,0.62549
13,0.57221,0.61089
14,0.52201,0.60036
15,0.46147,0.57286
16,0.38736,0.54491
17,0.29534,0.53184
18,0.22435,0.52002
19,0.16424,0.53237
20,0.11442,0.53861
21,0.0788,0.547
