epoch,train_loss,val_loss
1,0.68701,0.69573
2,0.68758,0.69688
3,0.68512,0.69325
4,0.682,0.69057
5,0.68038,0.69057
6,0.67947,0.69039
7,0.6737,0.68938
8,0.66524,0.69385
9,0.64032,0.68094
10,0.59643,0.6725
11,0.50844,0.67006
12,0.35127,0.67585
13,0.2035,0.72435
