epoch,train_loss,val_loss,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc
1,0.79032,0.78732,0.50634,0.43977,0.59852,0.53784
2,0.78564,0.77633,0.52356,0.46232,0.6663,0.6153
3,0.7732,0.74512,0.5892,0.5044,0.71778,0.67747
4,0.732,0.67086,0.68662,0.63267,0.79593,0.74894
5,0.70362,0.64197,0.71984,0.65144,0.81444,0.76081
6,0.64297,0.6543,0.7858,0.694,0.81222,0.77317
7,0.55492,0.6748,0.85345,0.79382,0.79444,0.74801
8,0.48828,0.64106,0.88375,0.8209,0.78148,0.74878
9,0.40435,0.70048,0.92422,0.88824,0.77185,0.73611
