epoch,split,iteration,loss
1,train,10,0.7207
1,train,20,0.82715
1,train,30,0.7666
1,train,40,0.96875
1,train,50,0.79492
1,train,60,0.7876
1,train,70,0.79102
1,train,80,0.77051
1,train,90,0.74219
1,train,100,0.80811
1,train,110,0.79492
1,train,120,0.79883
2,train,10,0.71729
2,train,20,0.83496
2,train,30,0.77197
2,train,40,0.7915
2,train,50,0.79785
2,train,60,0.81104
2,train,70,0.79004
2,train,80,0.75049
2,train,90,0.80859
2,train,100,0.80811
2,train,110,0.74121
2,train,120,0.80176
3,train,10,0.69092
3,train,20,0.78711
3,train,30,0.76758
3,train,40,0.771
3,train,50,0.80762
3,train,60,0.79053
3,train,70,0.76709
3,train,80,0.75439
3,train,90,0.90234
3,train,100,0.7168
3,train,110,0.74756
3,train,120,0.77295
4,train,10,0.68701
4,train,20,0.70898
4,train,30,0.76465
4,train,40,0.59277
4,train,50,0.7583
4,train,60,0.76221
4,train,70,0.7876
4,train,80,0.69287
4,train,90,0.78857
4,train,100,0.61182
4,train,110,0.6377
4,train,120,0.59717
5,train,10,0.68896
5,train,20,0.57715
5,train,30,0.67725
5,train,40,0.5542
5,train,50,0.66309
5,train,60,0.58936
5,train,70,0.98584
5,train,80,0.78906
5,train,90,0.62646
5,train,100,0.79932
5,train,110,0.72852
5,train,120,0.82324
6,train,10,0.61523
6,train,20,0.42725
6,train,30,0.4812
6,train,40,0.57031
6,train,50,0.69092
6,train,60,0.61084
6,train,70,0.60547
6,train,80,0.49902
6,train,90,0.46875
6,train,100,0.53027
6,train,110,0.81445
6,train,120,0.51416
7,train,10,0.59229
7,train,20,0.43555
7,train,30,0.38257
7,train,40,0.73975
7,train,50,0.58105
7,train,60,0.31616
7,train,70,0.70947
7,train,80,0.71484
7,train,90,1.27246
7,train,100,0.99072
7,train,110,0.37793
7,train,120,0.37207
8,train,10,0.27734
8,train,20,0.69336
8,train,30,0.43042
8,train,40,0.71533
8,train,50,0.2262
8,train,60,0.58105
8,train,70,0.41284
8,train,80,0.27856
8,train,90,0.20093
8,train,100,0.47754
8,train,110,0.70215
8,train,120,1.20898
9,train,10,0.89697
9,train,20,0.59131
9,train,30,0.19727
9,train,40,0.21448
9,train,50,0.32178
9,train,60,0.31226
9,train,70,0.31543
9,train,80,0.14343
9,train,90,0.53027
9,train,100,0.70654
9,train,110,1.12793
9,train,120,0.24854
